PSH Flag Count,min_seg_size_forward,Flow IAT Max,Flow IAT Min,ACK Flag Count,Destination Port,Bwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Init_Win_bytes_forward,Fwd IAT Max,Idle Mean,Idle Max,Avg Bwd Segment Size,Bwd Packet Length Std,Bwd IAT Mean,Fwd IAT Std,Down/Up Ratio,Max Packet Length,Average Packet Size,Min Packet Length,Packet Length Std,Fwd Packets/s,Packet Length Mean,Flow IAT Std,URG Flag Count,FIN Flag Count,Fwd Packet Length Min,Subflow Fwd Packets,Bwd IAT Max,Packet Length Variance,Fwd IAT Mean,Flow Duration,Fwd IAT Total,Bwd IAT Std,Flow IAT Mean,Label
1,20,5401905,1,0,443,667.5714286,1460,2,8192,5401905,5401905.0,5401905,667.5714286,744.4241303,29731.33333,2023680.802,0,1460,352.9333333,0,568.8370446,1.404370365,330.875,1438021.629,0,0,0,8,95246,323575.5833,813786.1429,5696503,5696503,44994.79726,406893.0714,BENIGN
0,32,203,3,0,53,98.0,98,98,-1,4,0.0,0,98.0,0.0,3.0,0.0,1,98,84.25,47,27.93385043,9523.809524,67.4,115.1824639,0,0,47,2,3,780.3,4.0,210,4,0.0,70.0,BENIGN
0,20,53255,3,0,53,102.0,102,102,-1,48,0.0,0,102.0,0.0,3.0,0.0,1,102,82.5,42,32.86335345,37.5192286,66.0,30732.07439,0,0,42,2,3,1080.0,48.0,53306,48,0.0,17768.66667,BENIGN
1,20,121469,4,0,443,67.85714286,287,2,8192,121809,0.0,0,67.85714286,107.9960317,40722.16667,70118.6942,1,495,104.4166667,0,152.8013626,13.66859667,96.38461538,56359.5259,0,0,0,5,121363,23348.25641,60993.0,365802,243972,62416.26099,33254.72727,BENIGN
0,20,3,1,1,7021,0.0,0,0,156,3,0.0,0,0.0,0.0,0.0,1.414213562,0,31,16.33333333,6,12.5,750000.0,12.25,1.414213562,0,0,6,3,0,156.25,2.0,4,4,0.0,2.0,BENIGN
0,20,121780,1,0,53,242.0,242,242,-1,145730,0.0,0,242.0,0.0,40685.33333,84135.81137,1,242,142.25,34,109.6256256,27.39650968,126.4444444,45384.59479,0,0,34,4,122005,12017.77778,48578.33333,146004,145735,70424.90075,20857.71429,BENIGN
0,20,418529,418529,0,53,72.0,72,72,-1,0,0.0,0,72.0,0.0,0.0,0.0,1,72,78.0,42,17.32050808,2.389320692,52.0,0.0,0,0,42,1,0,300.0,0.0,418529,0,0.0,418529.0,BENIGN
0,20,30953,3,0,53,98.0,98,98,-1,3,0.0,0,98.0,0.0,4.0,0.0,1,98,78.25,39,32.31563089,64.5994832,62.6,17868.70216,0,0,39,2,4,1044.3,3.0,30960,3,0.0,10320.0,BENIGN
0,20,252,3,0,53,164.0,164,164,-1,3,0.0,0,164.0,0.0,48.0,0.0,1,164,118.75,49,62.98809411,6600.660066,95.0,132.6913712,0,0,49,2,48,3967.5,3.0,303,3,0.0,101.0,BENIGN
0,20,142,3,0,53,164.0,164,164,-1,3,0.0,0,164.0,0.0,48.0,0.0,1,164,109.0,36,70.10848736,10362.6943,87.2,70.92484285,0,0,36,2,48,4915.2,3.0,193,3,0.0,64.33333333,BENIGN
1,40,44,44,0,84,6.0,6,6,29200,0,0.0,0,6.0,0.0,0.0,0.0,1,6,3.0,0,3.464101615,22727.27273,2.0,0.0,0,0,0,1,0,12.0,0.0,44,0,0.0,44.0,PortScan
1,40,54,54,0,4449,6.0,6,6,29200,0,0.0,0,6.0,0.0,0.0,0.0,1,6,3.0,0,3.464101615,18518.51852,2.0,0.0,0,0,0,1,0,12.0,0.0,54,0,0.0,54.0,PortScan
1,40,27,27,0,12345,6.0,6,6,29200,0,0.0,0,6.0,0.0,0.0,0.0,1,6,3.0,0,3.464101615,37037.03704,2.0,0.0,0,0,0,1,0,12.0,0.0,27,0,0.0,27.0,PortScan
1,24,52,52,0,4125,6.0,6,6,1024,0,0.0,0,6.0,0.0,0.0,0.0,1,6,5.0,2,2.309401077,19230.76923,3.333333333,0.0,0,0,2,1,0,5.333333333,0.0,52,0,0.0,52.0,PortScan
1,40,32,32,0,1984,6.0,6,6,29200,0,0.0,0,6.0,0.0,0.0,0.0,1,6,3.0,0,3.464101615,31250.0,2.0,0.0,0,0,0,1,0,12.0,0.0,32,0,0.0,32.0,PortScan
1,24,4,4,0,34573,6.0,6,6,1024,0,0.0,0,6.0,0.0,0.0,0.0,1,6,5.0,2,2.309401077,250000.0,3.333333333,0.0,0,0,2,1,0,5.333333333,0.0,4,0,0.0,4.0,PortScan
1,40,43,43,0,1311,6.0,6,6,29200,0,0.0,0,6.0,0.0,0.0,0.0,1,6,3.0,0,3.464101615,23255.81395,2.0,0.0,0,0,0,1,0,12.0,0.0,43,0,0.0,43.0,PortScan
1,24,68,68,0,20222,6.0,6,6,1024,0,0.0,0,6.0,0.0,0.0,0.0,1,6,5.0,2,2.309401077,14705.88235,3.333333333,0.0,0,0,2,1,0,5.333333333,0.0,68,0,0.0,68.0,PortScan
1,40,31,31,0,3071,6.0,6,6,29200,0,0.0,0,6.0,0.0,0.0,0.0,1,6,3.0,0,3.464101615,32258.06452,2.0,0.0,0,0,0,1,0,12.0,0.0,31,0,0.0,31.0,PortScan
1,40,44,44,0,65000,6.0,6,6,29200,0,0.0,0,6.0,0.0,0.0,0.0,1,6,3.0,0,3.464101615,22727.27273,2.0,0.0,0,0,0,1,0,12.0,0.0,44,0,0.0,44.0,PortScan
